reference;type_operation;categorie_produit;quantite;prix_unitaire;valeur_marchandise;devise;pays_origine;pays_destination;mode_transport;distance_km;poids_kg;niveau_douane;priorite;date_operation;saison;duree_prevue_jours;date_livraison_prevue;duree_reelle_jours;date_livraison_reelle;retard
IMP-00013;IMPORT;AUTOMOBILE;17;447.87;7613.79;USD;Japon;Maroc;AERIEN;11188;1079.15;ELEVE;NORMALE;2022-02-13;HIVER;6;2022-02-19;7;2022-02-20;1
EXP-00014;EXPORT;AGRICOLE;7169;61.17;438527.73;EUR;Maroc;Italie;ROUTIER;2185;15192.76;MOYEN;NORMALE;2025-03-15;PRINTEMPS;6;2025-03-21;8;2025-03-23;1
IMP-00015;IMPORT;AUTOMOBILE;204;2727.8;556471.2;EUR;Italie;Maroc;ROUTIER;2130;3035.12;ELEVE;NORMALE;2023-11-26;AUTOMNE;5;2023-12-01;6;2023-12-02;1
IMP-00016;IMPORT;COSMETIQUE;4078;245.87;1002657.86;MAD;Allemagne;Maroc;ROUTIER;2913;7079.69;FAIBLE;NORMALE;2022-07-11;ETE;7;2022-07-18;5;2022-07-16;0
EXP-00017;EXPORT;AUTOMOBILE;313;1166.73;365186.49;EUR;Maroc;Allemagne;ROUTIER;2866;2125.22;MOYEN;NORMALE;2025-02-12;HIVER;7;2025-02-19;7;2025-02-19;0
IMP-00018;IMPORT;ALIMENTAIRE;1622;91.28;148056.16;USD;Canada;Maroc;MARITIME;5841;11057.31;ELEVE;NORMALE;2024-11-06;AUTOMNE;19;2024-11-25;29;2024-12-05;1
EXP-00019;EXPORT;PHARMACEUTIQUE;1723;676.33;1165316.59;MAD;Maroc;Émirats arabes unis;MARITIME;5859;1141.76;MOYEN;NORMALE;2025-03-03;PRINTEMPS;20;2025-03-23;30;2025-04-02;1
IMP-00020;IMPORT;MATERIAUX_CONSTRUCTION;486;1021.65;496521.9;EUR;Espagne;Maroc;ROUTIER;985;8545.52;FAIBLE;NORMALE;2025-02-27;HIVER;3;2025-03-02;1;2025-02-28;0
IMP-00021;IMPORT;MATERIAUX_CONSTRUCTION;663;1864.88;1236415.44;USD;Corée du Sud;Maroc;MARITIME;11416;9839.4;ELEVE;NORMALE;2024-12-19;HIVER;29;2025-01-17;35;2025-01-23;1
EXP-00022;EXPORT;AGRICOLE;4614;272.07;1255330.98;USD;Maroc;Chine;MARITIME;9592;78220.47;MOYEN;NORMALE;2023-02-21;HIVER;27;2023-03-20;39;2023-04-01;1
EXP-00023;EXPORT;ELECTRONIQUE;124;769.67;95439.08;USD;Maroc;Chine;MARITIME;10404;877.49;ELEVE;NORMALE;2024-06-23;ETE;26;2024-07-19;39;2024-08-01;1
EXP-00024;EXPORT;AUTOMOBILE;692;603.69;417753.48;MAD;Maroc;Italie;ROUTIER;2285;54136.2;MOYEN;NORMALE;2022-03-23;PRINTEMPS;6;2022-03-29;6;2022-03-29;0
IMP-00025;IMPORT;MACHINES;53;81212.34;4304254.02;MAD;Allemagne;Maroc;ROUTIER;2887;91951.02;MOYEN;NORMALE;2024-04-24;PRINTEMPS;7;2024-05-01;11;2024-05-05;1
EXP-00026;EXPORT;AUTOMOBILE;238;215.96;51398.48;USD;Maroc;Canada;AERIEN;5897;4788.52;ELEVE;NORMALE;2023-12-18;HIVER;4;2023-12-22;2;2023-12-20;0
IMP-00027;IMPORT;PHARMACEUTIQUE;1512;588.98;890537.76;EUR;Espagne;Maroc;ROUTIER;954;2975.5;MOYEN;NORMALE;2023-11-10;AUTOMNE;4;2023-11-14;5;2023-11-15;1
IMP-00028;IMPORT;COSMETIQUE;113;264.76;29917.88;EUR;Turquie;Maroc;AERIEN;4584;183.36;MOYEN;NORMALE;2023-06-06;ETE;3;2023-06-09;2;2023-06-08;0
EXP-00029;EXPORT;TEXTILE;2560;263.42;674355.2;USD;Maroc;Corée du Sud;MARITIME;10809;5207.01;MOYEN;NORMALE;2025-06-30;ETE;28;2025-07-28;28;2025-07-28;0
EXP-00030;EXPORT;MATERIAUX_CONSTRUCTION;1757;20.8;36545.6;EUR;Maroc;Portugal;ROUTIER;894;56675.2;MOYEN;NORMALE;2025-06-14;ETE;3;2025-06-17;1;2025-06-15;0
IMP-00031;IMPORT;MATERIAUX_CONSTRUCTION;1409;1273.22;1793966.98;EUR;Belgique;Maroc;MARITIME;2580;51911.62;MOYEN;NORMALE;2022-12-14;HIVER;11;2022-12-25;15;2022-12-29;1
IMP-00032;IMPORT;COSMETIQUE;4815;105.27;506875.05;MAD;Royaume-Uni;Maroc;ROUTIER;2299;6778.99;MOYEN;NORMALE;2025-06-05;ETE;6;2025-06-11;9;2025-06-14;1
EXP-00033;EXPORT;MATERIAUX_CONSTRUCTION;560;1836.59;1028490.4;EUR;Maroc;France;ROUTIER;1927;9256.28;MOYEN;NORMALE;2024-11-26;AUTOMNE;5;2024-12-01;3;2024-11-29;0
EXP-00034;EXPORT;MATERIAUX_CONSTRUCTION;963;1796.47;1730000.61;USD;Maroc;Canada;MARITIME;5985;72848.32;FAIBLE;NORMALE;2024-10-30;AUTOMNE;19;2024-11-18;18;2024-11-17;0
IMP-00035;IMPORT;PHARMACEUTIQUE;1970;286.28;563971.6;USD;Turquie;Maroc;MARITIME;4518;1326.66;FAIBLE;NORMALE;2024-06-19;ETE;15;2024-07-04;14;2024-07-03;0
EXP-00036;EXPORT;ELECTRONIQUE;221;7512.73;1660313.33;EUR;Maroc;Portugal;MARITIME;924;702.09;FAIBLE;URGENTE;2025-01-16;HIVER;9;2025-01-25;8;2025-01-24;0
EXP-00037;EXPORT;MATERIAUX_CONSTRUCTION;1688;1214.44;2049974.72;USD;Maroc;Chine;MARITIME;9719;43805.59;FAIBLE;NORMALE;2024-03-09;PRINTEMPS;26;2024-04-04;34;2024-04-12;1
IMP-00038;IMPORT;COSMETIQUE;4948;286.55;1417849.4;USD;Émirats arabes unis;Maroc;MARITIME;6086;508.9;MOYEN;NORMALE;2022-09-19;AUTOMNE;18;2022-10-07;17;2022-10-06;0
EXP-00039;EXPORT;TEXTILE;3952;29.3;115793.6;EUR;Maroc;Belgique;ROUTIER;2625;6577.37;MOYEN;NORMALE;2023-07-24;ETE;6;2023-07-30;6;2023-07-30;0
IMP-00040;IMPORT;ALIMENTAIRE;8258;102.07;842894.06;EUR;Italie;Maroc;MARITIME;2138;47292.76;MOYEN;NORMALE;2022-02-11;HIVER;12;2022-02-23;14;2022-02-25;1
IMP-00041;IMPORT;ELECTRONIQUE;961;2876.42;2764239.62;USD;Japon;Maroc;MARITIME;12027;5238.45;MOYEN;NORMALE;2023-09-30;AUTOMNE;32;2023-11-01;42;2023-11-11;1
IMP-00042;IMPORT;EQUIPEMENT_MEDICAL;405;1711.54;693173.7;USD;États-Unis;Maroc;MARITIME;6605;32458.89;MOYEN;NORMALE;2025-11-02;AUTOMNE;20;2025-11-22;19;2025-11-21;0
EXP-00043;EXPORT;ALIMENTAIRE;7635;30.54;233172.9;EUR;Maroc;Turquie;MARITIME;4568;40565.66;ELEVE;NORMALE;2025-07-25;ETE;16;2025-08-10;15;2025-08-09;0
IMP-00044;IMPORT;TEXTILE;2384;443.18;1056541.12;MAD;Canada;Maroc;MARITIME;5979;1924.37;MOYEN;NORMALE;2023-10-23;AUTOMNE;18;2023-11-10;23;2023-11-15;1
EXP-00045;EXPORT;EQUIPEMENT_MEDICAL;364;26463.17;9632593.88;USD;Maroc;Émirats arabes unis;MARITIME;6010;30427.04;FAIBLE;NORMALE;2023-11-29;AUTOMNE;18;2023-12-17;16;2023-12-15;0
EXP-00046;EXPORT;ELECTRONIQUE;105;2718.7;285463.5;USD;Maroc;États-Unis;MARITIME;6333;345.95;MOYEN;NORMALE;2024-10-02;AUTOMNE;22;2024-10-24;21;2024-10-23;0
EXP-00047;EXPORT;PHARMACEUTIQUE;2109;245.93;518666.37;EUR;Maroc;Belgique;MARITIME;2454;3071.77;ELEVE;NORMALE;2025-12-10;HIVER;12;2025-12-22;17;2025-12-27;1
EXP-00048;EXPORT;AUTOMOBILE;313;1214.67;380191.71;EUR;Maroc;Espagne;ROUTIER;951;5873.36;MOYEN;URGENTE;2024-12-10;HIVER;3;2024-12-13;5;2024-12-15;1
IMP-00049;IMPORT;PHARMACEUTIQUE;3895;489.14;1905200.3;USD;Japon;Maroc;MARITIME;12035;2782.5;ELEVE;NORMALE;2022-07-30;ETE;31;2022-08-30;29;2022-08-28;0
IMP-00050;IMPORT;EQUIPEMENT_MEDICAL;490;9463.15;4636943.5;EUR;Allemagne;Maroc;MARITIME;2693;73054.47;MOYEN;NORMALE;2022-04-20;PRINTEMPS;12;2022-05-02;11;2022-05-01;0
EXP-00051;EXPORT;EQUIPEMENT_MEDICAL;322;2276.79;733126.38;EUR;Maroc;Belgique;MARITIME;2400;46379.68;MOYEN;NORMALE;2023-09-01;AUTOMNE;11;2023-09-12;11;2023-09-12;0
EXP-00052;EXPORT;EQUIPEMENT_MEDICAL;245;9092.15;2227576.75;EUR;Maroc;Royaume-Uni;MARITIME;2348;8600.9;MOYEN;NORMALE;2022-01-06;HIVER;12;2022-01-18;10;2022-01-16;0
EXP-00053;EXPORT;MATERIAUX_CONSTRUCTION;510;1302.32;664183.2;EUR;Maroc;Espagne;ROUTIER;1033;46562.53;FAIBLE;NORMALE;2023-02-10;HIVER;4;2023-02-14;4;2023-02-14;0
EXP-00054;EXPORT;COSMETIQUE;2330;255.23;594685.9;EUR;Maroc;Turquie;MARITIME;4311;2360.06;MOYEN;NORMALE;2024-08-17;ETE;14;2024-08-31;20;2024-09-06;1
IMP-00055;IMPORT;PHARMACEUTIQUE;4770;59.43;283481.1;USD;États-Unis;Maroc;MARITIME;6481;7272.93;ELEVE;NORMALE;2025-03-24;PRINTEMPS;21;2025-04-14;21;2025-04-14;0
EXP-00056;EXPORT;MACHINES;42;68662.68;2883832.56;EUR;Maroc;Portugal;MARITIME;885;72348.34;MOYEN;URGENTE;2024-08-20;ETE;9;2024-08-29;8;2024-08-28;0
EXP-00057;EXPORT;COSMETIQUE;4315;414.21;1787316.15;EUR;Maroc;Espagne;ROUTIER;1037;225.44;FAIBLE;NORMALE;2023-06-01;ETE;3;2023-06-04;3;2023-06-04;0
EXP-00058;EXPORT;ALIMENTAIRE;5219;68.53;357658.07;USD;Maroc;Chine;AERIEN;9621;36756.64;MOYEN;NORMALE;2023-02-21;HIVER;5;2023-02-26;5;2023-02-26;0
IMP-00059;IMPORT;TEXTILE;1361;259.22;352798.42;MAD;Royaume-Uni;Maroc;ROUTIER;2302;2964.46;ELEVE;URGENTE;2023-04-06;PRINTEMPS;5;2023-04-11;6;2023-04-12;1
IMP-00060;IMPORT;TEXTILE;2363;390.88;923649.44;USD;Canada;Maroc;AERIEN;5904;6091.33;MOYEN;NORMALE;2025-05-12;PRINTEMPS;4;2025-05-16;2;2025-05-14;0
IMP-00061;IMPORT;MATERIAUX_CONSTRUCTION;1041;703.35;732187.35;USD;Royaume-Uni;Maroc;ROUTIER;2310;59786.87;MOYEN;NORMALE;2024-09-29;AUTOMNE;5;2024-10-04;4;2024-10-03;0
EXP-00062;EXPORT;AGRICOLE;6746;118.89;802031.94;USD;Maroc;Turquie;AERIEN;4644;89998.65;MOYEN;NORMALE;2022-03-31;PRINTEMPS;4;2022-04-04;4;2022-04-04;0
IMP-00063;IMPORT;AGRICOLE;751;218.12;163808.12;USD;Chine;Maroc;MARITIME;10155;6246.5;MOYEN;URGENTE;2024-06-20;ETE;28;2024-07-18;27;2024-07-17;0
EXP-00064;EXPORT;AGRICOLE;9364;15.59;145984.76;EUR;Maroc;Pays-Bas;MARITIME;2634;14558.5;ELEVE;NORMALE;2025-10-13;AUTOMNE;11;2025-10-24;11;2025-10-24;0
IMP-00065;IMPORT;PHARMACEUTIQUE;287;65.07;18675.09;USD;Turquie;Maroc;MARITIME;4407;459.91;FAIBLE;NORMALE;2024-06-27;ETE;16;2024-07-13;19;2024-07-16;1
EXP-00066;EXPORT;AUTOMOBILE;519;4572.86;2373314.34;USD;Maroc;Japon;MARITIME;11455;7872.53;MOYEN;NORMALE;2022-06-11;ETE;32;2022-07-13;32;2022-07-13;0
EXP-00067;EXPORT;EQUIPEMENT_MEDICAL;158;19348.69;3057093.02;EUR;Maroc;Pays-Bas;MARITIME;2535;10101.6;FAIBLE;NORMALE;2022-06-01;ETE;11;2022-06-12;9;2022-06-10;0
EXP-00068;EXPORT;COSMETIQUE;2348;13.97;32801.56;EUR;Maroc;France;MARITIME;2056;4078.2;ELEVE;NORMALE;2023-08-29;ETE;12;2023-09-10;12;2023-09-10;0
EXP-00069;EXPORT;AUTOMOBILE;645;1328.07;856605.15;EUR;Maroc;Italie;MARITIME;2259;48892.39;FAIBLE;NORMALE;2025-05-28;PRINTEMPS;10;2025-06-07;10;2025-06-07;0
EXP-00070;EXPORT;ALIMENTAIRE;1976;136.9;270514.4;EUR;Maroc;Turquie;MARITIME;4462;6722.05;MOYEN;URGENTE;2025-04-01;PRINTEMPS;16;2025-04-17;16;2025-04-17;0
EXP-00071;EXPORT;PHARMACEUTIQUE;2824;808.15;2282215.6;USD;Maroc;États-Unis;AERIEN;6224;2720.21;FAIBLE;NORMALE;2023-06-11;ETE;4;2023-06-15;2;2023-06-13;0
IMP-00072;IMPORT;COSMETIQUE;214;139.58;29870.12;USD;États-Unis;Maroc;MARITIME;6415;62.27;MOYEN;NORMALE;2024-01-20;HIVER;19;2024-02-08;18;2024-02-07;0
EXP-00073;EXPORT;EQUIPEMENT_MEDICAL;118;19605.75;2313478.5;USD;Maroc;Émirats arabes unis;AERIEN;5979;11268.16;MOYEN;NORMALE;2022-02-21;HIVER;4;2022-02-25;4;2022-02-25;0
IMP-00074;IMPORT;MATERIAUX_CONSTRUCTION;327;789.52;258173.04;USD;Émirats arabes unis;Maroc;MARITIME;6270;13160.47;MOYEN;NORMALE;2022-07-19;ETE;21;2022-08-09;20;2022-08-08;0
EXP-00075;EXPORT;ELECTRONIQUE;716;3397.72;2432767.52;EUR;Maroc;Belgique;MARITIME;2613;2579.55;FAIBLE;NORMALE;2025-06-14;ETE;13;2025-06-27;12;2025-06-26;0
IMP-00076;IMPORT;AGRICOLE;2001;200.52;401240.52;EUR;Espagne;Maroc;ROUTIER;1010;25824.4;MOYEN;NORMALE;2023-07-20;ETE;3;2023-07-23;4;2023-07-24;1
IMP-00077;IMPORT;AUTOMOBILE;346;3894.41;1347465.86;USD;Canada;Maroc;MARITIME;6058;27360.2;ELEVE;URGENTE;2025-04-15;PRINTEMPS;20;2025-05-05;21;2025-05-06;1
IMP-00078;IMPORT;AUTOMOBILE;612;1686.48;1032125.76;EUR;Pays-Bas;Maroc;MARITIME;2484;11169.23;MOYEN;NORMALE;2022-09-27;AUTOMNE;13;2022-10-10;13;2022-10-10;0
IMP-00079;IMPORT;ELECTRONIQUE;754;7070.72;5331322.88;USD;Japon;Maroc;MARITIME;11525;5239.66;ELEVE;NORMALE;2024-07-14;ETE;29;2024-08-12;28;2024-08-11;0
EXP-00080;EXPORT;TEXTILE;2738;311.98;854201.24;MAD;Maroc;Espagne;MARITIME;978;795.33;MOYEN;NORMALE;2025-12-29;HIVER;9;2026-01-07;7;2026-01-05;0
IMP-00081;IMPORT;TEXTILE;4616;366.0;1689456.0;USD;États-Unis;Maroc;MARITIME;6469;3339.98;MOYEN;NORMALE;2024-05-31;PRINTEMPS;18;2024-06-18;16;2024-06-16;0
EXP-00082;EXPORT;AGRICOLE;1599;31.91;51024.09;EUR;Maroc;Allemagne;MARITIME;2781;3022.45;MOYEN;NORMALE;2023-06-07;ETE;14;2023-06-21;12;2023-06-19;0
EXP-00083;EXPORT;COSMETIQUE;521;484.52;252434.92;EUR;Maroc;Pays-Bas;ROUTIER;2561;636.04;FAIBLE;NORMALE;2022-09-08;AUTOMNE;5;2022-09-13;4;2022-09-12;0
EXP-00084;EXPORT;AUTOMOBILE;836;2202.65;1841415.4;USD;Maroc;Japon;MARITIME;11808;47263.77;MOYEN;NORMALE;2022-08-24;ETE;32;2022-09-25;32;2022-09-25;0
EXP-00085;EXPORT;PHARMACEUTIQUE;2833;364.0;1031212.0;MAD;Maroc;Turquie;AERIEN;4339;1143.8;FAIBLE;NORMALE;2023-01-05;HIVER;3;2023-01-08;2;2023-01-07;0
EXP-00086;EXPORT;ALIMENTAIRE;6562;50.19;329346.78;EUR;Maroc;Pays-Bas;ROUTIER;2715;22172.69;ELEVE;NORMALE;2024-05-09;PRINTEMPS;5;2024-05-14;7;2024-05-16;1
EXP-00087;EXPORT;EQUIPEMENT_MEDICAL;231;12718.42;2937955.02;USD;Maroc;Royaume-Uni;ROUTIER;2303;7560.07;FAIBLE;NORMALE;2025-09-17;AUTOMNE;5;2025-09-22;5;2025-09-22;0
EXP-00088;EXPORT;ELECTRONIQUE;17;1919.37;32629.29;USD;Maroc;Japon;AERIEN;11807;128.66;MOYEN;NORMALE;2023-03-28;PRINTEMPS;6;2023-04-03;9;2023-04-06;1
IMP-00089;IMPORT;MATERIAUX_CONSTRUCTION;1756;1342.74;2357851.44;USD;Chine;Maroc;MARITIME;9897;67862.17;MOYEN;NORMALE;2025-12-12;HIVER;26;2026-01-07;33;2026-01-14;1
EXP-00090;EXPORT;TEXTILE;3418;30.01;102574.18;EUR;Maroc;Belgique;ROUTIER;2575;3560.97;ELEVE;URGENTE;2025-12-24;HIVER;6;2025-12-30;9;2026-01-02;1
IMP-00091;IMPORT;PHARMACEUTIQUE;2831;237.14;671343.34;EUR;Portugal;Maroc;MARITIME;862;4442.63;MOYEN;NORMALE;2024-03-31;PRINTEMPS;8;2024-04-08;6;2024-04-06;0
IMP-00092;IMPORT;ALIMENTAIRE;4693;33.6;157684.8;EUR;Espagne;Maroc;MARITIME;1026;28643.77;FAIBLE;NORMALE;2022-10-30;AUTOMNE;10;2022-11-09;9;2022-11-08;0
EXP-00093;EXPORT;MACHINES;20;46777.47;935549.4;USD;Maroc;Canada;AERIEN;6079;19287.92;MOYEN;NORMALE;2025-10-26;AUTOMNE;4;2025-10-30;6;2025-11-01;1
IMP-00094;IMPORT;TEXTILE;4966;263.39;1307994.74;USD;Corée du Sud;Maroc;AERIEN;11060;7160.3;ELEVE;NORMALE;2023-08-11;ETE;6;2023-08-17;8;2023-08-19;1
IMP-00095;IMPORT;AGRICOLE;2195;244.24;536106.8;EUR;France;Maroc;ROUTIER;2096;36832.25;MOYEN;NORMALE;2024-10-23;AUTOMNE;5;2024-10-28;3;2024-10-26;0
EXP-00096;EXPORT;PHARMACEUTIQUE;3223;420.59;1355561.57;EUR;Maroc;Pays-Bas;MARITIME;2625;2287.74;MOYEN;NORMALE;2022-11-22;AUTOMNE;13;2022-12-05;11;2022-12-03;0
IMP-00097;IMPORT;TEXTILE;4873;338.53;1649656.69;EUR;Pays-Bas;Maroc;MARITIME;2551;13442.49;MOYEN;NORMALE;2025-09-06;AUTOMNE;11;2025-09-17;9;2025-09-15;0
IMP-00098;IMPORT;MATERIAUX_CONSTRUCTION;241;1299.13;313090.33;MAD;Corée du Sud;Maroc;MARITIME;10848;10898.89;FAIBLE;NORMALE;2023-11-04;AUTOMNE;29;2023-12-03;32;2023-12-06;1
IMP-00099;IMPORT;TEXTILE;4258;390.02;1660705.16;EUR;Belgique;Maroc;ROUTIER;2596;10738.03;MOYEN;NORMALE;2022-11-14;AUTOMNE;6;2022-11-20;9;2022-11-23;1
IMP-00100;IMPORT;AGRICOLE;1215;126.2;153333.0;EUR;Turquie;Maroc;MARITIME;4382;16514.26;MOYEN;NORMALE;2025-07-03;ETE;15;2025-07-18;23;2025-07-26;1
EXP-00101;EXPORT;EQUIPEMENT_MEDICAL;230;14119.56;3247498.8;USD;Maroc;Corée du Sud;MARITIME;10870;9803.72;ELEVE;URGENTE;2023-02-02;HIVER;27;2023-03-01;38;2023-03-12;1
EXP-00102;EXPORT;TEXTILE;4326;428.56;1853950.56;USD;Maroc;Chine;MARITIME;10263;4008.83;ELEVE;NORMALE;2024-09-11;AUTOMNE;30;2024-10-11;38;2024-10-19;1
IMP-00103;IMPORT;ELECTRONIQUE;415;4567.86;1895661.9;EUR;Portugal;Maroc;ROUTIER;945;814.5;FAIBLE;URGENTE;2023-12-17;HIVER;3;2023-12-20;3;2023-12-20;0
EXP-00104;EXPORT;AGRICOLE;2773;228.86;634628.78;USD;Maroc;Émirats arabes unis;AERIEN;6069;26311.28;FAIBLE;NORMALE;2022-03-20;PRINTEMPS;4;2022-03-24;3;2022-03-23;0
EXP-00105;EXPORT;PHARMACEUTIQUE;1048;66.79;69995.92;EUR;Maroc;Italie;ROUTIER;2265;910.36;FAIBLE;URGENTE;2022-08-16;ETE;5;2022-08-21;5;2022-08-21;0
EXP-00106;EXPORT;ELECTRONIQUE;639;3240.06;2070398.34;MAD;Maroc;Portugal;MARITIME;872;2944.67;MOYEN;NORMALE;2022-10-22;AUTOMNE;9;2022-10-31;7;2022-10-29;0
IMP-00107;IMPORT;AGRICOLE;1213;192.52;233526.76;EUR;Portugal;Maroc;ROUTIER;878;23804.62;MOYEN;NORMALE;2025-02-08;HIVER;3;2025-02-11;1;2025-02-09;0
IMP-00108;IMPORT;MACHINES;70;37161.99;2601339.3;EUR;France;Maroc;MARITIME;2066;91241.6;ELEVE;NORMALE;2023-11-12;AUTOMNE;10;2023-11-22;9;2023-11-21;0
EXP-00109;EXPORT;ELECTRONIQUE;820;1875.28;1537729.6;EUR;Maroc;Italie;ROUTIER;2295;353.47;ELEVE;NORMALE;2022-03-17;PRINTEMPS;6;2022-03-23;8;2022-03-25;1
EXP-00110;EXPORT;TEXTILE;3114;229.74;715410.36;EUR;Maroc;Belgique;MARITIME;2485;3923.84;MOYEN;NORMALE;2022-04-08;PRINTEMPS;12;2022-04-20;11;2022-04-19;0
EXP-00111;EXPORT;COSMETIQUE;1578;277.28;437547.84;EUR;Maroc;Espagne;MARITIME;958;1067.3;MOYEN;NORMALE;2022-06-19;ETE;9;2022-06-28;9;2022-06-28;0
EXP-00112;EXPORT;ELECTRONIQUE;86;6073.54;522324.44;EUR;Maroc;Belgique;MARITIME;2503;284.58;FAIBLE;NORMALE;2023-12-24;HIVER;12;2024-01-05;12;2024-01-05;0
IMP-00113;IMPORT;MACHINES;47;41371.17;1944444.99;USD;États-Unis;Maroc;MARITIME;6568;54337.97;ELEVE;NORMALE;2022-05-18;PRINTEMPS;20;2022-06-07;19;2022-06-06;0
EXP-00114;EXPORT;TEXTILE;312;373.12;116413.44;EUR;Maroc;Italie;ROUTIER;2175;482.73;MOYEN;NORMALE;2023-10-06;AUTOMNE;6;2023-10-12;5;2023-10-11;0
IMP-00115;IMPORT;TEXTILE;3803;102.88;391252.64;EUR;Allemagne;Maroc;MARITIME;2939;8247.84;ELEVE;URGENTE;2023-02-14;HIVER;13;2023-02-27;12;2023-02-26;0
IMP-00116;IMPORT;ALIMENTAIRE;6422;78.77;505860.94;USD;Turquie;Maroc;MARITIME;4365;8922.42;MOYEN;NORMALE;2023-09-07;AUTOMNE;16;2023-09-23;14;2023-09-21;0
IMP-00117;IMPORT;PHARMACEUTIQUE;3311;999.6;3309675.6;MAD;Espagne;Maroc;MARITIME;1003;4806.9;ELEVE;NORMALE;2022-09-23;AUTOMNE;9;2022-10-02;7;2022-09-30;0
EXP-00118;EXPORT;MATERIAUX_CONSTRUCTION;1360;1183.82;1609995.2;EUR;Maroc;Allemagne;ROUTIER;2696;105997.39;ELEVE;URGENTE;2024-11-25;AUTOMNE;6;2024-12-01;9;2024-12-04;1
EXP-00119;EXPORT;PHARMACEUTIQUE;696;265.59;184850.64;USD;Maroc;Chine;MARITIME;10051;896.7;MOYEN;NORMALE;2023-04-07;PRINTEMPS;25;2023-05-02;25;2023-05-02;0
EXP-00120;EXPORT;EQUIPEMENT_MEDICAL;26;24844.47;645956.22;USD;Maroc;Canada;AERIEN;5727;123.29;MOYEN;NORMALE;2022-12-17;HIVER;4;2022-12-21;3;2022-12-20;0
EXP-00121;EXPORT;PHARMACEUTIQUE;4006;259.98;1041479.88;USD;Maroc;Corée du Sud;MARITIME;10897;6507.07;MOYEN;NORMALE;2025-07-08;ETE;29;2025-08-06;32;2025-08-09;1
EXP-00122;EXPORT;MACHINES;52;17422.78;905984.56;MAD;Maroc;Turquie;MARITIME;4528;40172.78;MOYEN;NORMALE;2023-10-03;AUTOMNE;15;2023-10-18;22;2023-10-25;1
EXP-00123;EXPORT;ALIMENTAIRE;5864;140.39;823246.96;MAD;Maroc;Italie;ROUTIER;2132;42614.03;ELEVE;NORMALE;2025-06-14;ETE;5;2025-06-19;7;2025-06-21;1
EXP-00124;EXPORT;AUTOMOBILE;607;1829.19;1110318.33;EUR;Maroc;Italie;MARITIME;2199;3644.12;MOYEN;NORMALE;2024-11-01;AUTOMNE;12;2024-11-13;11;2024-11-12;0
